iter	RMSE
0	2217.64888
1	2191.892803
2	2168.648596
3	2149.087778
4	2128.4587
5	2107.660376
6	2089.138631
7	2070.41753
8	2050.965617
9	2036.485685
10	2017.1763
11	1997.624912
12	1981.283363
13	1963.805555
14	1947.97558
15	1934.775398
16	1922.766506
17	1904.552338
18	1886.448698
19	1870.776017
20	1854.759978
21	1839.818307
22	1829.013009
23	1818.962543
24	1801.998398
25	1790.348938
26	1779.045533
27	1767.911695
28	1756.122481
29	1743.313648
30	1730.34314
31	1721.356574
32	1708.790592
33	1698.147266
34	1691.687915
35	1676.556001
36	1666.113103
37	1654.509229
38	1648.0241
39	1642.538482
40	1634.810742
41	1623.760562
42	1613.264099
43	1606.526244
44	1598.778623
45	1587.662701
46	1577.19394
47	1569.615518
48	1563.11351
49	1555.87963
50	1543.427666
51	1531.879974
52	1522.942943
53	1512.493462
54	1505.073191
55	1497.478758
56	1489.054653
57	1481.160443
58	1473.514546
59	1466.812568
60	1461.645048
61	1454.859814
62	1448.562915
63	1445.03
64	1435.715131
65	1428.708803
66	1421.841276
67	1416.494072
68	1413.180386
69	1406.283071
70	1400.988331
71	1394.051176
72	1386.576543
73	1380.661916
74	1373.415185
75	1368.30014
76	1361.171796
77	1356.129627
78	1351.679205
79	1347.112643
80	1340.879083
81	1333.912155
82	1328.697245
83	1323.767241
84	1319.036866
85	1316.314765
86	1313.018225
87	1309.860417
88	1303.002967
89	1299.614113
90	1295.206624
91	1287.375162
92	1280.08035
93	1276.166791
94	1274.988859
95	1268.40309
96	1259.737404
97	1254.809515
98	1249.654041
99	1245.769965
100	1239.576528
101	1236.024765
102	1230.492024
103	1228.084415
104	1224.085812
105	1216.863702
106	1212.849513
107	1209.426241
108	1205.039567
109	1201.049592
110	1196.335067
111	1192.444626
112	1190.292769
113	1186.333843
114	1180.913772
115	1177.915914
116	1174.954973
117	1170.227047
118	1167.11602
119	1161.774627
120	1158.106897
121	1154.613011
122	1152.474305
123	1146.577286
124	1143.347437
125	1137.660575
126	1132.257784
127	1129.558684
128	1127.06348
129	1123.194751
130	1117.187874
131	1115.848226
132	1112.665376
133	1110.420387
134	1107.987656
135	1105.129865
136	1101.90898
137	1097.383911
138	1093.638359
139	1091.10985
140	1087.198846
141	1085.586396
142	1080.419851
143	1075.733265
144	1072.112604
145	1069.253532
146	1066.047289
147	1064.326588
148	1062.516384
149	1059.222217
150	1056.020529
151	1053.893451
152	1052.06561
153	1049.050485
154	1044.353697
155	1040.720144
156	1036.815582
157	1033.859096
158	1029.574214
159	1026.595832
160	1022.595089
