iter	Passed	Remaining
0	1	1984
1	3	1983
2	6	2008
3	8	2004
4	10	2003
5	12	2003
6	14	2001
7	16	2001
8	17	1971
9	18	1875
10	20	1811
11	21	1757
12	22	1711
13	23	1663
14	25	1677
15	26	1644
16	27	1617
17	29	1591
18	30	1568
19	31	1557
20	33	1555
21	34	1529
22	35	1520
23	36	1503
24	38	1487
25	39	1471
26	40	1457
27	41	1448
28	42	1433
29	43	1416
30	44	1406
31	46	1399
32	47	1386
33	48	1386
34	50	1379
35	51	1371
36	52	1365
37	53	1359
38	54	1353
39	56	1347
40	57	1340
41	58	1334
42	59	1327
43	60	1321
44	61	1315
45	63	1311
46	64	1306
47	65	1300
48	66	1300
49	68	1310
50	70	1305
51	71	1298
52	72	1295
53	73	1292
54	74	1288
55	76	1284
56	77	1280
57	78	1276
58	79	1275
59	81	1269
60	82	1269
61	83	1266
62	84	1262
63	85	1256
64	87	1253
65	88	1248
66	89	1244
67	90	1238
68	91	1232
69	92	1229
70	93	1226
71	95	1228
72	96	1228
73	98	1226
74	99	1222
75	100	1220
76	101	1217
77	102	1215
78	104	1212
79	105	1208
80	106	1205
81	107	1202
82	108	1200
83	109	1198
84	111	1199
85	112	1196
86	113	1192
87	114	1188
88	115	1183
89	116	1181
90	118	1178
91	119	1176
92	120	1174
93	121	1173
94	122	1170
95	124	1171
96	127	1184
97	130	1198
98	135	1232
99	138	1245
100	139	1243
101	141	1248
102	142	1244
103	144	1244
104	145	1244
105	147	1244
106	148	1241
107	149	1237
108	151	1240
109	153	1240
110	154	1236
111	155	1231
112	156	1228
113	157	1225
114	158	1223
115	160	1220
116	162	1226
117	163	1222
118	164	1219
119	165	1215
120	167	1213
121	168	1209
122	169	1208
123	171	1208
124	172	1204
125	173	1200
126	174	1196
127	175	1194
128	178	1202
129	179	1199
130	180	1195
131	181	1191
132	182	1187
133	183	1183
134	184	1179
135	185	1176
136	186	1171
137	187	1168
138	188	1164
139	189	1161
140	190	1162
141	192	1160
142	192	1156
143	193	1153
144	194	1149
145	195	1145
146	196	1142
147	197	1138
148	198	1135
149	199	1131
150	200	1128
151	201	1125
152	202	1121
153	203	1118
154	204	1116
155	207	1122
156	208	1119
157	209	1116
158	210	1113
159	211	1109
160	212	1106
161	213	1103
162	214	1100
163	215	1097
164	216	1094
165	217	1091
166	218	1088
167	219	1085
168	220	1083
169	221	1082
170	222	1079
171	223	1076
172	224	1073
173	225	1071
174	226	1068
175	227	1064
176	228	1062
177	229	1059
178	230	1056
179	231	1054
180	232	1051
181	233	1048
182	234	1045
183	235	1044
184	237	1047
185	238	1045
186	240	1044
187	241	1041
188	242	1038
189	243	1036
190	244	1033
191	244	1030
192	245	1028
193	246	1025
194	247	1023
195	248	1020
196	249	1018
197	250	1015
198	251	1013
199	253	1012
200	254	1010
201	255	1007
202	256	1005
203	257	1003
204	258	1001
205	259	999
206	260	998
207	261	995
208	262	993
209	263	991
210	264	989
211	265	988
212	267	987
213	269	988
214	270	988
215	272	990
216	273	987
217	274	985
218	275	983
219	276	980
220	277	978
221	278	976
222	279	973
223	280	971
224	281	969
225	282	966
226	283	965
227	284	964
228	286	963
229	287	961
230	288	960
231	289	958
232	290	957
233	291	955
234	292	953
235	293	951
236	294	949
237	295	946
238	296	944
239	297	942
240	298	940
241	299	939
242	301	937
243	302	935
244	303	933
245	304	931
246	305	929
247	306	927
248	306	925
249	307	923
250	308	921
251	309	919
252	310	917
253	311	915
254	312	913
255	313	911
256	314	909
257	316	911
258	317	909
259	319	909
260	321	910
261	323	910
262	324	910
263	326	909
264	327	908
265	328	906
266	330	906
267	330	903
268	331	901
269	332	899
270	334	900
271	335	899
272	336	897
273	337	895
274	338	893
275	339	891
276	340	889
277	341	887
278	342	885
279	343	884
280	344	882
281	345	880
282	346	877
283	348	877
284	349	876
285	350	874
286	351	873
287	352	871
288	353	869
289	354	867
290	355	866
291	356	864
292	357	862
293	358	860
294	359	858
295	360	856
296	361	855
297	362	853
298	363	851
299	364	849
300	365	847
301	366	846
302	367	844
303	368	843
304	369	841
305	370	839
306	371	837
307	372	835
308	372	834
309	373	832
310	375	831
311	376	830
312	377	828
313	378	827
314	381	828
315	382	827
316	383	825
317	384	824
318	385	823
319	386	822
320	388	821
321	389	819
322	390	818
323	391	816
324	392	815
325	394	814
326	395	813
327	396	811
328	397	810
329	398	808
330	399	806
331	400	805
332	401	803
333	402	801
334	403	800
335	403	798
336	404	796
337	405	794
338	406	793
339	407	791
340	408	789
341	410	789
342	411	787
343	412	785
344	413	784
345	414	782
346	415	780
347	416	779
348	416	777
349	417	776
350	418	774
351	419	771
352	420	770
353	421	768
354	422	767
355	423	765
356	424	764
357	425	763
358	426	762
359	427	760
360	428	759
361	430	757
362	431	756
363	432	754
364	433	753
365	433	751
366	434	750
367	435	748
368	436	747
369	437	745
370	438	743
371	439	742
372	440	741
373	441	739
374	442	738
375	443	736
376	444	734
377	445	733
378	446	732
379	447	730
380	448	729
381	449	727
382	450	726
383	451	724
384	452	722
385	453	721
386	454	719
387	455	718
388	456	717
389	457	715
390	458	714
391	459	712
392	460	711
393	461	709
394	462	708
395	463	706
396	464	705
397	465	703
398	466	702
399	467	700
400	468	699
401	469	697
402	470	696
403	471	694
404	472	693
405	473	692
406	474	690
407	475	689
408	476	688
409	477	687
410	478	685
411	479	684
412	480	683
413	481	682
414	483	681
415	484	680
416	485	679
417	487	678
418	488	677
419	489	676
420	490	674
421	491	673
422	493	672
423	494	671
424	495	670
425	496	669
426	498	668
427	499	667
428	500	666
429	501	664
430	502	663
431	503	661
432	504	660
433	505	659
434	506	657
435	507	656
436	508	654
437	509	653
438	510	652
439	511	650
440	512	649
441	513	647
442	513	646
443	514	644
444	515	643
445	516	642
446	517	640
447	518	639
448	520	638
449	521	637
